DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
chronic kidney disease (CKD),Roseburia,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Enterobacteriaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Enterobacteriaceae?,positive
chronic kidney disease (CKD),Streptococcaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Streptococcaceae?,positive
chronic kidney disease (CKD),Prevotellaceae,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between chronic kidney disease (CKD) and Prevotellaceae?,negative
chronic kidney disease (CKD),Enterococcus,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,positive
parkinson’s disease (PD),Roseburia,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between parkinson’s disease (PD) and Roseburia?,negative
parkinson’s disease (PD),Enterobacteriaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between parkinson’s disease (PD) and Enterobacteriaceae?,positive
parkinson’s disease (PD),Streptococcaceae,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between parkinson’s disease (PD) and Streptococcaceae?,positive
parkinson’s disease (PD),Prevotellaceae,"The six most dominant bacterial phyla in the gut are shown in Figure 1, with Bacillota and Bacteroidota, formerly known as Firmicutes and Bacteroidetes, representing 90% of the gut microbiota in healthy humans.13,14 Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. ",What is the relationship between parkinson’s disease (PD) and Prevotellaceae?,negative
parkinson’s disease (PD),Enterococcus,"Stanford et al. conducted a systematic review on the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differences in the microbiota of patients undertaking hemodialysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size. Despite this, they have reported differences in bacterial composition (i.e., β diversity) in both dialysis types compared to healthy controls.16 Furthermore, the relative abundance of the Bacteroidota phylum was significantly lower in HD patients and alterations in gut microbiota were related to differences in nutrient metabolism and clinical factors such as glucose in dialysate.16",What is the relationship between parkinson’s disease (PD) and Enterococcus?,positive
