DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
chronic kidney disease (CKD),Roseburia,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between chronic kidney disease (CKD) and Roseburia?,negative
chronic kidney disease (CKD),Enterobacteriaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between chronic kidney disease (CKD) and Enterobacteriaceae?,positive
chronic kidney disease (CKD),Streptococcaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between chronic kidney disease (CKD) and Streptococcaceae?,positive
chronic kidney disease (CKD),Prevotellaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between chronic kidney disease (CKD) and Prevotellaceae?,negative
chronic kidney disease (CKD),Enterococcus,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between chronic kidney disease (CKD) and Enterococcus?,positive
parkinson’s disease (PD),Roseburia,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between parkinson’s disease (PD) and Roseburia?,negative
parkinson’s disease (PD),Enterobacteriaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between parkinson’s disease (PD) and Enterobacteriaceae?,positive
parkinson’s disease (PD),Streptococcaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between parkinson’s disease (PD) and Streptococcaceae?,positive
parkinson’s disease (PD),Prevotellaceae,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between parkinson’s disease (PD) and Prevotellaceae?,negative
parkinson’s disease (PD),Enterococcus,"conducted a systematic reviewon the gut microbiota composition differences in those with CKD.15 Compared to healthy controls, people with CKD have a lower relative abundance of Prevotellaceae family and Roseburia genus and significantly higher numbers of potential pathobionts from the Enterobacteriaceae and Streptococcaceae families and Enterococcus genus.15 Studies reporting differ- ences in the microbiota of patients undertaking hemodial- ysis (HD) and peritoneal dialysis (PD) are limited due to the small sample size.",What is the relationship between parkinson’s disease (PD) and Enterococcus?,positive
